goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillCookiejarQueue/0-4         	  123321	      8361 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   97999	     12822 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100113	     11784 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  101278	     12085 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   98754	     13886 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   28606	     39670 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30616	     39393 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30642	     40587 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30096	     40484 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30082	     39728 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30295	     39703 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30068	     40182 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30214	     39662 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30601	     39610 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/1000-4      	   30446	     40253 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3279	    353399 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3306	    353213 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3285	    354280 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3302	    351104 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3349	    348749 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3346	    347752 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3282	    361005 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3294	    350015 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3272	    348648 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/10000-4     	    3249	    349811 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     338	   3539805 ns/op	 3246587 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     330	   3547410 ns/op	 3246588 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     339	   3595071 ns/op	 3246588 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     336	   3530054 ns/op	 3246590 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     337	   3552180 ns/op	 3246588 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     340	   3523021 ns/op	 3246588 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     326	   3547533 ns/op	 3246586 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     343	   3548846 ns/op	 3246586 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     340	   3517851 ns/op	 3246587 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/100000-4    	     342	   3550751 ns/op	 3246587 B/op	  100051 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      28	  40603906 ns/op	32830136 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      25	  41701168 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      27	  42055668 ns/op	32830136 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      27	  40835689 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      27	  42088989 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      27	  41303724 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      27	  41625936 ns/op	32830143 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      26	  40998156 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      27	  45024619 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarQueue/1000000-4   	      24	  42907088 ns/op	32830140 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/0-4         	  139633	      8418 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  136989	      8502 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  138456	      8519 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  137331	      8460 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  138046	      8409 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  133272	      8645 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  135361	      8267 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  136495	      8480 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  134210	      8415 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/0-4         	  135838	      8332 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarStack/1-4         	  131620	      8645 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  133929	      8661 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  135589	      8673 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  134043	      8515 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  135316	      8721 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  136314	      8585 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  134565	      8562 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  134872	      8509 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  134011	      8585 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  133933	      8412 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/10-4        	  131209	      9078 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  127717	      9081 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  129152	      8945 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  130618	      9115 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  129004	      9059 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  129481	      9010 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  128209	      9032 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  129472	      8881 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  129058	      9108 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  129086	      8882 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/100-4       	   96163	     11953 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   99516	     11942 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   99795	     11836 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   98383	     11962 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   99660	     11969 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  101031	     11818 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   99050	     11866 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   99693	     11896 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100252	     11856 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	   98991	     11901 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30394	     39551 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30015	     39637 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30229	     39720 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30499	     39837 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30469	     39836 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   24928	     40147 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30452	     39551 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30256	     39625 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30362	     39630 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30442	     39526 ns/op	   81672 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3324	    353069 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3296	    352772 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3264	    352448 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3290	    351494 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3319	    353977 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3220	    352778 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3314	    360812 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3307	    352863 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3255	    352540 ns/op	  356872 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    3277	    354171 ns/op	  356873 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     332	   3572164 ns/op	 3246593 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     336	   3667078 ns/op	 3246591 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     332	   3583862 ns/op	 3246594 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     325	   3621277 ns/op	 3246589 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     334	   3596621 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     334	   3602336 ns/op	 3246589 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     336	   3593979 ns/op	 3246590 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     332	   3584179 ns/op	 3246591 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     333	   3592494 ns/op	 3246591 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     331	   3592843 ns/op	 3246590 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      25	  42551411 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      27	  42616476 ns/op	32830136 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      26	  42574447 ns/op	32830136 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      27	  41767825 ns/op	32830136 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      27	  43028888 ns/op	32830136 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      27	  42468897 ns/op	32830143 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      27	  42258327 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      26	  41938623 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      28	  42364887 ns/op	32830142 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      25	  41903984 ns/op	32830139 B/op	 1000491 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  136570	      8639 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  135397	      8593 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  132709	      8492 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  135908	      8612 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  132351	      8475 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  134950	      8495 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  135146	      8737 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  134908	      8488 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  138087	      8567 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/0-4 	  136371	      8651 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  128986	     10194 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  129416	      8960 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  126758	      9043 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  131401	      8966 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  131564	      8872 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  131550	      8929 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  130606	      9060 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  130560	      8795 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  131995	      8853 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/1-4 	  129094	      8925 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  106520	     11305 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  101136	     11087 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  107576	     11208 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  107320	     11054 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  106105	     11152 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  106665	     11114 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  106857	     11055 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  107968	     11046 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  105513	     11056 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/10-4         	  106466	     11076 ns/op	   66792 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41004	     29125 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41144	     29461 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41008	     29211 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41316	     29108 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41160	     29279 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41136	     29369 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41289	     29157 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41220	     29254 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41202	     29346 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/100-4        	   41390	     29210 ns/op	   76872 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5017	    224048 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    4959	    223347 ns/op	  243256 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5086	    223846 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5084	    224547 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    4923	    225271 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5070	    223049 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5144	    223913 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5032	    223703 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5007	    223213 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5064	    224793 ns/op	  243257 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     568	   2110036 ns/op	 1382508 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     566	   2127639 ns/op	 1382509 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     560	   2115291 ns/op	 1382507 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     560	   2120283 ns/op	 1382509 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     564	   2126762 ns/op	 1382508 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     567	   2352597 ns/op	 1382509 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     548	   2123508 ns/op	 1382509 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     566	   2124643 ns/op	 1382507 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     556	   2115292 ns/op	 1382507 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	     566	   2116551 ns/op	 1382507 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      48	  23576324 ns/op	12912784 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      48	  23700691 ns/op	12912780 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      46	  23613397 ns/op	12912787 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      49	  23460157 ns/op	12912793 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      48	  23529383 ns/op	12912786 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  23547214 ns/op	12912786 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      49	  23779827 ns/op	12912797 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      48	  23982194 ns/op	12912780 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      49	  23670347 ns/op	12912787 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      48	  23615172 ns/op	12912792 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 239432019 ns/op	128901816 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 237448054 ns/op	128901816 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 241203076 ns/op	128901892 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 237764543 ns/op	128901873 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 238772124 ns/op	128901835 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 239847034 ns/op	128901835 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 237403064 ns/op	128901873 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 239362454 ns/op	128901816 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 238941341 ns/op	128901854 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 238544161 ns/op	128901835 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  127989	      8764 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  133515	      8880 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  133063	      8908 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  132362	      8916 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  134497	      8861 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  134648	      8748 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  134536	      8603 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  131662	      8898 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  135118	      8802 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/0-4          	  133791	      8907 ns/op	   65672 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  128953	      9103 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  128190	      9094 ns/op	   65784 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  128703	      9206 ns/op	   65784 B/op	      10 allocs/op
