goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillGammazeroQueue/0-4         	27841816	        40.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2297542	       467.8 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2245612	       485.9 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2405823	       556.6 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2203118	       475.9 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2557581	       470.0 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2580638	       468.7 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2567166	       467.3 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2557362	       466.1 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2150922	       491.6 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2536220	       500.8 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  230486	      4856 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  246254	      4700 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  247762	      5748 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  215631	      5655 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  245967	      4874 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  236660	      4944 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  247576	      6125 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  190926	      5422 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  238779	      5824 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  252720	      4800 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   28749	     41832 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   28258	     42629 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   21435	     51637 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   25495	     50908 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   27535	     49746 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   25688	     44496 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   28834	     41377 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   28118	     45347 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   28872	     42999 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   25555	     44796 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2536	    446580 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2565	    440199 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2586	    444111 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2623	    444359 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2644	    441156 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2619	    444406 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2670	    441655 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2616	    444453 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2625	    445164 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    2607	    442807 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     152	   7824805 ns/op	 7891016 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     153	   8371867 ns/op	 7891003 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     151	   7570357 ns/op	 7891004 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     157	   7615936 ns/op	 7891015 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     153	   7532362 ns/op	 7891007 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     156	   7507854 ns/op	 7891012 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     154	   7632407 ns/op	 7891015 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     154	   7563208 ns/op	 7891028 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     154	   8002699 ns/op	 7891018 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     154	   7638543 ns/op	 7891024 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      18	  65070432 ns/op	66331194 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      18	  66867085 ns/op	66331200 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      16	  66167562 ns/op	66331214 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      16	  67560293 ns/op	66331190 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      16	  66067542 ns/op	66331214 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      18	  65897395 ns/op	66331189 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      18	  67415029 ns/op	66331194 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      16	  67666815 ns/op	66331196 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      18	  66551178 ns/op	66331194 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      16	  65392676 ns/op	66331196 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/0-4         	27389568	        39.70 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	28929710	        39.75 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	28184998	        39.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	28818906	        39.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	29203272	        39.56 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	28821014	        39.51 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	29129176	        39.48 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	29239951	        39.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	29520240	        39.65 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	29047140	        39.74 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7697205	       154.1 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7104091	       154.2 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7622278	       154.0 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7706479	       154.6 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7810599	       155.5 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7684215	       154.0 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7778352	       154.2 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7646732	       154.6 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7708996	       153.9 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	 7614537	       155.0 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2562138	       488.8 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2570346	       505.8 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2563272	       471.5 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2525730	       468.8 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2550664	       467.8 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2576613	       466.1 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2571224	       467.6 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2565956	       468.1 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2566340	       467.3 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 2565919	       469.4 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/100-4       	  247410	      4797 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  236433	      4723 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  245832	      4750 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  246319	      4731 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  245128	      4756 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  240916	      4795 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  217324	      5126 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  245533	      4746 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  244761	      4734 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  246692	      4720 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28808	     41878 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28759	     41638 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28822	     41886 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28890	     42302 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28552	     41916 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28860	     41682 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28873	     41701 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28810	     41569 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28989	     42136 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   28743	     41713 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2632	    439693 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2516	    439422 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2607	    442309 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2684	    438893 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2629	    437473 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2674	    436248 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2612	    443769 ns/op	  945969 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2604	    440612 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2578	    440023 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2646	    443504 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     154	   7636635 ns/op	 7891015 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     152	   7736988 ns/op	 7891017 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     156	   8516243 ns/op	 7891005 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     151	   7668506 ns/op	 7891018 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     154	   7574962 ns/op	 7891018 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     156	   7698102 ns/op	 7891020 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     151	   7643137 ns/op	 7891022 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     153	   7647629 ns/op	 7891026 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     153	   7587025 ns/op	 7891025 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     156	   7677126 ns/op	 7891022 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      16	  66492006 ns/op	66331208 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      16	  65931571 ns/op	66331196 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      15	  68844842 ns/op	66331190 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      18	  66721278 ns/op	66331189 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      16	  66049628 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      16	  64392442 ns/op	66331196 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      18	  64590645 ns/op	66331200 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      16	  67014563 ns/op	66331202 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      16	  65497193 ns/op	66331190 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      18	  65510760 ns/op	66331189 B/op	 1000034 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	25300292	        43.69 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26702980	        43.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26582542	        43.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	25988511	        43.74 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26606388	        43.93 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	25552136	        43.62 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26693078	        43.61 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26780469	        43.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26679873	        43.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/0-4 	26241764	        43.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3374674	       355.8 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3373846	       355.0 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3320318	       355.2 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3382881	       359.5 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3385812	       355.4 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3373746	       355.8 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3380048	       355.4 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3385177	       356.0 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3379970	       356.1 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3349124	       356.3 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  470803	      2449 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  461253	      2443 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  469875	      2451 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  462584	      2601 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  426062	      2462 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  454944	      2459 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  469076	      2456 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  464893	      2443 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  487156	      2447 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  463105	      2434 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   47523	     25361 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   46917	     25489 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   46810	     25422 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   46897	     25456 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   46746	     25465 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   47372	     25747 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   47474	     25338 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   46870	     25351 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   46698	     25423 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   47334	     25522 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4616	    240898 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4874	    241767 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4963	    240603 ns/op	  209073 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4599	    242072 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4818	    240092 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4642	    241741 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4593	    240986 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4632	    241625 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4810	    240023 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    4598	    240688 ns/op	  209073 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     465	   2570016 ns/op	 2691637 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     464	   2573366 ns/op	 2691636 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     462	   2564520 ns/op	 2691638 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     465	   2581789 ns/op	 2691635 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     468	   2584829 ns/op	 2691637 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     466	   2566994 ns/op	 2691640 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     464	   2578501 ns/op	 2691640 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     463	   2565450 ns/op	 2691639 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     460	   2586540 ns/op	 2691639 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     462	   2573862 ns/op	 2691636 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      36	  29596112 ns/op	23781717 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      37	  29680002 ns/op	23781711 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      38	  30298815 ns/op	23781697 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      38	  29529587 ns/op	23781725 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      39	  29859772 ns/op	23781699 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      39	  30449481 ns/op	23781707 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      36	  29894677 ns/op	23781706 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      39	  29954509 ns/op	23781692 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      38	  30562104 ns/op	23781717 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      38	  30520953 ns/op	23781705 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 352035063 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 298967030 ns/op	212662232 B/op	 7000067 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 299186383 ns/op	212662136 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 300676656 ns/op	212662136 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 298731258 ns/op	212662088 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 297863969 ns/op	212662208 B/op	 7000067 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 306355644 ns/op	212662160 B/op	 7000067 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 304987435 ns/op	212662088 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 297008082 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       4	 302776738 ns/op	212662136 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26291461	        43.76 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26734105	        43.66 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26729772	        43.70 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26611526	        43.82 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26544516	        43.66 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	25887055	        43.78 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26495666	        43.89 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26669316	        43.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26679579	        43.97 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/0-4          	26560978	        43.67 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 3326032	       357.1 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 3354447	       358.3 ns/op	     416 B/op	       9 allocs/op
