goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillListQueue/0-4         	26576101	        49.53 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 111697586 ns/op	64000058 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       8	 131287277 ns/op	64000060 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 113618819 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 118888539 ns/op	64000069 B/op	 2000001 allocs/op
BenchmarkMicroserviceListQueue/0-4 	24828848	        44.64 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	25509998	        44.58 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	26342686	        44.61 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	26030739	        44.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	26211858	        44.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	26072876	        44.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	25680652	        44.80 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	25702387	        44.95 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	25733049	        44.80 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/0-4 	25864455	        44.64 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2292307	       525.7 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 1989890	       530.9 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2275035	       525.1 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2283615	       526.3 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2292366	       525.0 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2292814	       525.8 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2293020	       524.0 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2292362	       524.2 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2286607	       524.2 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 2301639	       523.0 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  205618	      4901 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  236989	      4893 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  236041	      4896 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  232723	      4893 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  226503	      4924 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  237546	      4893 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  236683	      4909 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  234373	      4902 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  237703	      4907 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  235389	      4903 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   24981	     48126 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25081	     47993 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25213	     47769 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25129	     47824 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25174	     47727 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   24550	     47959 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25165	     47920 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25099	     48066 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25050	     47873 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   25000	     47906 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2389	    477919 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2337	    485408 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2359	    481540 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2424	    478760 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2422	    482105 ns/op	  448050 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2330	    479273 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2430	    479653 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2348	    479258 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2460	    480572 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    2426	    479906 ns/op	  448049 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     238	   5013217 ns/op	 4480076 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     234	   5072820 ns/op	 4480067 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     214	   5373398 ns/op	 4480065 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     237	   5059641 ns/op	 4480067 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     235	   5101621 ns/op	 4480069 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     236	   5074962 ns/op	 4480065 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     237	   5072379 ns/op	 4480064 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     237	   5042583 ns/op	 4480064 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     234	   5065929 ns/op	 4480064 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     236	   5133243 ns/op	 4480067 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  71319916 ns/op	44800150 B/op	 1400002 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      14	  71865794 ns/op	44800150 B/op	 1400002 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  72302064 ns/op	44800126 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  69739248 ns/op	44800120 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      15	  72368156 ns/op	44800169 B/op	 1400002 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  71444753 ns/op	44800120 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  70499954 ns/op	44800126 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  71172011 ns/op	44800138 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      15	  72537067 ns/op	44800144 B/op	 1400002 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      16	  71117620 ns/op	44800114 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 709542298 ns/op	448000480 B/op	14000005 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 715478875 ns/op	448000432 B/op	14000005 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 747452750 ns/op	448000432 B/op	14000005 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 746232740 ns/op	448000864 B/op	14000009 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 705943148 ns/op	448000336 B/op	14000004 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 709666388 ns/op	448000144 B/op	14000002 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 704602104 ns/op	448000144 B/op	14000002 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 719000502 ns/op	448000480 B/op	14000005 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 704646478 ns/op	448000432 B/op	14000005 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 720536624 ns/op	448000480 B/op	14000005 allocs/op
BenchmarkMicroserviceListStack/0-4          	24729686	        44.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	25750239	        44.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	25969532	        44.80 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	25836549	        44.73 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	25965429	        44.64 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	26011897	        44.74 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	25847719	        44.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	26074402	        44.52 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	24413554	        45.56 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/0-4          	25962553	        45.89 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceListStack/1-4          	 1992858	       528.7 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2283679	       526.8 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2280686	       523.5 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2266260	       529.6 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2287105	       528.2 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2283429	       523.6 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2272627	       523.5 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2297485	       525.4 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2286710	       525.0 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 2249725	       525.6 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/10-4         	  238322	      4900 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  244117	      4877 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  231162	      4901 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  235144	      4887 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  239682	      4896 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  236900	      4889 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  233826	      4908 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  234922	      4922 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  239673	      4927 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  237453	      4892 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/100-4        	   25142	     48022 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   25270	     47822 ns/op	   44848 B/op	    1401 allocs/op
