goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillSliceQueue/0-4         	28661444	        40.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/100000-4    	     157	   7594391 ns/op	 5701450 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     153	   7561058 ns/op	 5701445 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     154	   7589110 ns/op	 5701443 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     154	   7532859 ns/op	 5701447 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     152	   7529089 ns/op	 5701451 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     154	   7550521 ns/op	 5701444 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     164	   7676298 ns/op	 5701450 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     150	   8325649 ns/op	 5701446 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/100000-4    	     151	   7552198 ns/op	 5701447 B/op	  100029 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  77826250 ns/op	57678123 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  79022775 ns/op	57678123 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  84923691 ns/op	57678150 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  74951986 ns/op	57678130 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  79111011 ns/op	57678102 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  78393903 ns/op	57678130 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      13	  84228483 ns/op	57678118 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  78431294 ns/op	57678130 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  78003293 ns/op	57678109 B/op	 1000039 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      14	  78849354 ns/op	57678137 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/0-4         	28955518	        39.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	29163462	        40.22 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	27310926	        39.74 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	28780629	        39.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	28505702	        39.68 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	29468031	        39.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	29241778	        42.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	29499272	        40.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	28681687	        39.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	28851618	        40.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceStack/1-4         	11725348	       101.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11707416	       101.4 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11774818	       101.6 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11810140	       101.5 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11657320	       101.4 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11532448	       101.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11769866	       101.6 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11747338	       101.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11827760	       103.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	11773084	       101.4 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceStack/10-4        	 1897959	       626.7 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1885603	       627.8 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1902732	       625.8 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1865631	       628.6 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1880541	       628.5 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1903971	       628.5 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1907822	       627.9 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1906492	       627.1 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1883607	       629.5 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1893228	       627.9 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceStack/100-4       	  304000	      3854 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  302604	      3847 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300075	      3871 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300393	      3850 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  303424	      3844 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  298384	      3845 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  303451	      3860 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  306186	      3899 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  302235	      3834 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  301891	      3836 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceStack/1000-4      	   35912	     33464 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35203	     33562 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35677	     33550 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35497	     33777 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35568	     33584 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35946	     33560 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35882	     33865 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35965	     35429 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35160	     33698 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/1000-4      	   35850	     33703 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceStack/10000-4     	    3171	    353454 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3201	    351991 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3241	    352760 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3290	    356412 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3160	    353729 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3168	    352541 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3121	    353937 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3297	    352184 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3271	    354049 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/10000-4     	    3266	    355840 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceStack/100000-4    	     154	   7447579 ns/op	 5701444 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     158	   7459166 ns/op	 5701440 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     157	   7440962 ns/op	 5701441 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     156	   7402179 ns/op	 5701446 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     159	   7455477 ns/op	 5701439 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     159	   7480427 ns/op	 5701438 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     157	   7519098 ns/op	 5701439 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     159	   7427230 ns/op	 5701439 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     159	   7524614 ns/op	 5701445 B/op	  100029 allocs/op
BenchmarkFillSliceStack/100000-4    	     158	   7448735 ns/op	 5701444 B/op	  100029 allocs/op
BenchmarkFillSliceStack/1000000-4   	      13	  77320949 ns/op	57678162 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      15	  75873717 ns/op	57678115 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      14	  76205396 ns/op	57678130 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      13	  79722345 ns/op	57678118 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      15	  77356537 ns/op	57678128 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      14	  76129081 ns/op	57678130 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      15	  77506897 ns/op	57678134 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      15	  76575809 ns/op	57678115 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      14	  75908615 ns/op	57678123 B/op	 1000039 allocs/op
BenchmarkFillSliceStack/1000000-4   	      15	  74041913 ns/op	57678121 B/op	 1000039 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	25792881	        43.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26771470	        43.82 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26819138	        43.43 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26850363	        43.45 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26982390	        43.65 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26429148	        43.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26082338	        46.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	25088941	        43.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26605470	        43.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/0-4 	26771760	        43.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2337793	       513.1 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2328018	       512.3 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2326842	       510.9 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2356039	       516.1 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2328924	       514.2 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2348020	       512.0 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2329729	       519.1 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2354544	       510.9 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2342067	       513.6 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 2341834	       513.5 ns/op	     224 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  314457	      3705 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  315895	      3711 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  311474	      3712 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  306918	      3707 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  311598	      3758 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  309334	      3703 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  310165	      3719 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  311894	      3715 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  304272	      3805 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  312964	      3725 ns/op	    2160 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44602	     27219 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44473	     26972 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44634	     27016 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44748	     27217 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44582	     26927 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44308	     27050 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44257	     27204 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44538	     27091 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   42604	     27074 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   44392	     27363 ns/op	   21328 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3816	    295161 ns/op	  233536 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3778	    299596 ns/op	  233537 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3932	    294817 ns/op	  233537 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3966	    298353 ns/op	  233536 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3902	    330825 ns/op	  233537 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3847	    297190 ns/op	  233536 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3643	    297764 ns/op	  233536 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3922	    296071 ns/op	  233537 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3855	    295601 ns/op	  233537 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    3956	    311052 ns/op	  233536 B/op	    8781 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     344	   3317438 ns/op	 2838084 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     354	   3202500 ns/op	 2838084 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     360	   3209353 ns/op	 2838086 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     364	   3369838 ns/op	 2838085 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     373	   3228606 ns/op	 2838086 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     369	   3242870 ns/op	 2838085 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     375	   3215116 ns/op	 2838085 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     367	   3324364 ns/op	 2838086 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     361	   3222739 ns/op	 2838085 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     358	   3281848 ns/op	 2838083 B/op	   87842 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  43819884 ns/op	32521892 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  43243724 ns/op	32521904 B/op	  885696 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      26	  43041032 ns/op	32521896 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  43739583 ns/op	32521892 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      26	  43133798 ns/op	32521881 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  44011605 ns/op	32521880 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      24	  43922992 ns/op	32521888 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  43727143 ns/op	32521884 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  43680744 ns/op	32521904 B/op	  885696 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      25	  44089438 ns/op	32521869 B/op	  885695 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 473628098 ns/op	335341392 B/op	 8943173 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 478819944 ns/op	335341424 B/op	 8943173 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 486826634 ns/op	335341456 B/op	 8943173 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 489068932 ns/op	335341552 B/op	 8943174 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 486229777 ns/op	335341584 B/op	 8943175 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 504329493 ns/op	335341488 B/op	 8943174 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 493126843 ns/op	335341616 B/op	 8943175 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 481431637 ns/op	335341424 B/op	 8943173 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 482929565 ns/op	335341584 B/op	 8943175 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       3	 497520321 ns/op	335341520 B/op	 8943174 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	25198538	        43.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	26620692	        44.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	26469780	        44.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	26453757	        44.26 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	25725609	        48.54 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	23006625	        44.88 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	26384233	        43.99 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	25771430	        44.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	26680087	        44.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/0-4          	26039774	        44.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3054705	       393.8 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3042108	       398.8 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3021638	       395.0 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3054273	       393.1 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3049292	       397.7 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3048703	       399.2 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3067424	       397.5 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3031774	       394.4 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3007125	       395.5 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3048283	       394.8 ns/op	     192 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	  473016	      2472 ns/op	    1392 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	  464653	      2452 ns/op	    1392 B/op	      76 allocs/op
