goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillGostlQueue/0-4         	14197327	        82.55 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/100-4       	  118978	      9945 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  118389	      9986 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  118898	      9998 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  118167	     10030 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  117318	      9975 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  118557	     10004 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  119354	      9982 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  117976	     10068 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/1000-4      	   12080	     98151 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12088	     98404 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12109	     97979 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12115	     97875 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12094	     98097 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   10000	    106977 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   10000	    100997 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12141	     98828 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12146	     97320 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/1000-4      	   12106	     98540 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlStack/10000-4     	    1191	    983867 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1192	    982464 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1185	    976900 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1207	    987118 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1206	    980423 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1113	   1001862 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1188	    995438 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1185	    984920 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1201	    984287 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/10000-4     	    1204	    986491 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10402800 ns/op	 2484878 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10446022 ns/op	 2484880 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10433950 ns/op	 2484876 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10427787 ns/op	 2484877 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10468182 ns/op	 2484878 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10401791 ns/op	 2484878 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10469228 ns/op	 2484882 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10450894 ns/op	 2484873 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10433117 ns/op	 2484876 B/op	  101629 allocs/op
BenchmarkFillGostlStack/100000-4    	     100	  10484787 ns/op	 2484876 B/op	  101629 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 108616615 ns/op	24835360 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 107596091 ns/op	24835379 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 108430257 ns/op	24835369 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 109058454 ns/op	24835379 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 108573265 ns/op	24835369 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 109376763 ns/op	24835379 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 109987612 ns/op	24835398 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 109544353 ns/op	24835360 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 108793852 ns/op	24835360 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/1000000-4   	      10	 108900647 ns/op	24835398 B/op	 1015721 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13379402	        92.56 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13311440	        88.32 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	12906854	        89.55 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13660162	        88.13 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13529704	        87.72 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13578896	        87.16 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13443686	        87.57 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13261138	        88.54 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13251487	        87.31 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/0-4 	13487914	        87.23 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  937452	      1249 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  930325	      1239 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  914961	      1382 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  894675	      1244 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  942757	      1248 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  920475	      1240 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  929476	      1246 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  916260	      1239 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  907101	      1243 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/1-4 	  937620	      1237 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  156176	      7524 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  157310	      7545 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  157680	      7529 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  150638	      7544 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  156812	      7577 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  144952	      7609 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  156154	      7537 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  154981	      7569 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  154411	      7552 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/10-4         	  154890	      7522 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17554	     68066 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17424	     67749 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17394	     68589 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17498	     68511 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17224	     69159 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17550	     68334 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17343	     67644 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17410	     68546 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17562	     68131 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/100-4        	   17556	     68230 ns/op	   14840 B/op	     911 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1722	    683835 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1716	    683167 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1642	    696511 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1701	    687464 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1539	    686808 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1711	    685867 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1694	    685391 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1690	    687570 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1702	    686813 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/1000-4       	    1728	    680476 ns/op	  155600 B/op	    9072 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     175	   6786113 ns/op	 1542164 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     174	   6875526 ns/op	 1542163 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     175	   6798017 ns/op	 1542161 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     168	   7390266 ns/op	 1542162 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     174	   6925236 ns/op	 1542163 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     174	   6957212 ns/op	 1542166 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     172	   6807925 ns/op	 1542163 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     175	   6845254 ns/op	 1542164 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     174	   6745057 ns/op	 1542162 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/10000-4      	     171	   6977007 ns/op	 1542161 B/op	   90404 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71923080 ns/op	15372060 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71712939 ns/op	15372041 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71392171 ns/op	15372054 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71598026 ns/op	15372060 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71015029 ns/op	15372073 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71016204 ns/op	15372054 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  70897462 ns/op	15372060 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71614348 ns/op	15372073 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  70952414 ns/op	15372073 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/100000-4     	      15	  71269345 ns/op	15372054 B/op	  903264 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 726946879 ns/op	153673040 B/op	 9031448 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 725607541 ns/op	153673136 B/op	 9031449 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 723095060 ns/op	153673088 B/op	 9031448 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 719824506 ns/op	153673184 B/op	 9031449 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 735196110 ns/op	153673040 B/op	 9031448 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 719625980 ns/op	153673184 B/op	 9031449 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 721703076 ns/op	153673184 B/op	 9031449 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 722027992 ns/op	153673184 B/op	 9031449 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 719508768 ns/op	153673088 B/op	 9031448 allocs/op
BenchmarkMicroserviceGostlQueue/1000000-4    	       2	 727136653 ns/op	153673136 B/op	 9031449 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13323357	        88.13 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13541949	        86.90 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13626181	        86.54 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13508611	        86.76 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13597473	        86.79 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13164474	        86.72 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13320536	        87.14 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13559755	        87.44 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	13384995	        94.13 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/0-4          	10849612	        99.18 ns/op	      88 B/op	       2 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  749185	      1347 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  896290	      1306 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  876612	      1391 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  893496	      1301 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  859561	      1302 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  894752	      1318 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  877902	      1298 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  888315	      1300 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  895225	      1296 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/1-4          	  900306	      1294 ns/op	    1352 B/op	      18 allocs/op
BenchmarkMicroserviceGostlStack/10-4         	  141741	      8337 ns/op	    2600 B/op	     101 allocs/op
BenchmarkMicroserviceGostlStack/10-4         	  142419	      8336 ns/op	    2600 B/op	     101 allocs/op
