goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillPhfQueue/0-4         	15948807	        77.88 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2496	    454209 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2455	    447983 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2623	    447144 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2608	    448559 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2626	    446785 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2592	    446130 ns/op	  946339 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2636	    447888 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2634	    450465 ns/op	  946339 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2641	    447439 ns/op	  946339 B/op	   10027 allocs/op
BenchmarkFillPhfQueue/100000-4    	     154	   7600304 ns/op	 7891370 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     154	   7662543 ns/op	 7891378 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     153	   7574978 ns/op	 7891377 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     157	   7717756 ns/op	 7891377 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     153	   7536548 ns/op	 7891379 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	'     144	   7748593 ns/op	 7891377 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     154	   7687578 ns/op	 7891388 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     152	   7670855 ns/op	 7891394 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     153	   7544017 ns/op	 7891384 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/100000-4    	     152	   7612950 ns/op	 7891384 B/op	  100033 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      16	  68387406 ns/op	66331558 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      18	  67328275 ns/op	66331552 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      16	  66002089 ns/op	66331570 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      18	  66421220 ns/op	66331552 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      18	  66120352 ns/op	66331557 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      16	  66067069 ns/op	66331570 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      16	  65711353 ns/op	66331576 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      16	  66527171 ns/op	66331564 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      18	  65496182 ns/op	66331557 B/op	 1000039 allocs/op
BenchmarkFillPhfQueue/1000000-4   	      18	  66841223 ns/op	66331568 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/0-4         	15921704	        73.56 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16272862	        72.85 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16144132	        77.35 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16249531	        72.71 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16181854	        73.22 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16265617	        72.96 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	15971937	        72.89 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16221343	        72.80 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16069268	        72.90 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/0-4         	16399692	        72.64 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfStack/1-4         	11171643	       107.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	11191911	       107.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	11084295	       107.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	11030629	       107.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	11157546	       108.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	11044525	       107.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	10937764	       107.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	10890657	       107.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	10845584	       107.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/1-4         	11123190	       115.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfStack/10-4        	 1315902	       973.6 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1235814	       955.0 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1232052	      1017 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1384942	       785.4 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1514608	       786.0 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1518069	       780.4 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1525134	       784.1 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1516759	       783.9 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1518489	       780.8 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/10-4        	 1519375	       783.3 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfStack/100-4       	  232083	      5068 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  230768	      5109 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  232166	      5054 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  227944	      5039 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  226123	      5047 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  232076	      5045 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  231106	      5053 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  228985	      5066 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  230343	      5097 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/100-4       	  228984	      5065 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfStack/1000-4      	   28748	     41978 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28612	     41943 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28660	     45334 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   27715	     41860 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28635	     41985 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28705	     42270 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28711	     41776 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28682	     43510 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28585	     42025 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/1000-4      	   28761	     41847 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfStack/10000-4     	    2500	    449039 ns/op	  946341 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2635	    449221 ns/op	  946341 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2665	    446082 ns/op	  946341 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2598	    449173 ns/op	  946341 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2594	    447732 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2566	    451599 ns/op	  946339 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2592	    449535 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2641	    452096 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2646	    449412 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfStack/10000-4     	    2670	    449083 ns/op	  946340 B/op	   10027 allocs/op
BenchmarkFillPhfStack/100000-4    	     156	   7598144 ns/op	 7891390 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     154	   7653324 ns/op	 7891384 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     154	   7721914 ns/op	 7891386 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     154	   7600265 ns/op	 7891387 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     152	   7526535 ns/op	 7891392 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     151	   7609384 ns/op	 7891390 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     154	   7695037 ns/op	 7891389 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     153	   7630107 ns/op	 7891388 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     154	   7691145 ns/op	 7891397 B/op	  100033 allocs/op
BenchmarkFillPhfStack/100000-4    	     154	   7610551 ns/op	 7891397 B/op	  100033 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  66387089 ns/op	66331552 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  66331424 ns/op	66331564 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  65407149 ns/op	66331564 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  65870226 ns/op	66331570 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  65070169 ns/op	66331558 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      19	  65000860 ns/op	66331552 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  65249762 ns/op	66331576 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      16	  66212690 ns/op	66331564 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      18	  64799286 ns/op	66331573 B/op	 1000039 allocs/op
BenchmarkFillPhfStack/1000000-4   	      18	  66701862 ns/op	66331562 B/op	 1000039 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	14799459	        77.53 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15029205	        85.06 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15122907	        76.84 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15121616	        77.51 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15255236	        77.71 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15394258	        77.20 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15262524	        77.30 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15266077	        77.45 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15288832	        77.09 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/0-4 	15448519	        76.87 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2803096	       427.0 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2727390	       429.9 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2811102	       429.7 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2814582	       426.5 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2821778	       429.6 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2816048	       429.0 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2817638	       428.4 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2813664	       430.4 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2796093	       428.0 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/1-4 	 2750966	       427.4 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  375147	      3056 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  377688	      3034 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  374697	      3045 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  383035	      3039 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  384736	      3069 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  379520	      3056 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  383467	      3067 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  370832	      3088 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  381939	      3078 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/10-4         	  371058	      3060 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45379	     26109 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45620	     26064 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45876	     26139 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45927	     26142 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45230	     26351 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45939	     26024 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   46048	     26283 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45978	     26158 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45681	     26196 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/100-4        	   45690	     26104 ns/op	   23008 B/op	     721 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4680	    243446 ns/op	  209825 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4701	    241577 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4782	    242184 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4689	    244564 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4680	    243458 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4569	    257488 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4660	    241673 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4438	    242793 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4706	    242426 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/1000-4       	    4576	    243410 ns/op	  209824 B/op	    7033 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     466	   2581415 ns/op	 2692391 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     464	   2580180 ns/op	 2692390 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     465	   2589313 ns/op	 2692388 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     464	   2573519 ns/op	 2692389 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     463	   2574334 ns/op	 2692394 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     464	   2587928 ns/op	 2692388 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     464	   2599003 ns/op	 2692391 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     465	   2600692 ns/op	 2692389 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     464	   2588994 ns/op	 2692389 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/10000-4      	     468	   2575510 ns/op	 2692391 B/op	   70049 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      39	  30234787 ns/op	23782444 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      39	  29587164 ns/op	23782459 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      38	  30200504 ns/op	23782447 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      37	  30004274 ns/op	23782455 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      38	  30070792 ns/op	23782462 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      38	  29822374 ns/op	23782469 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      38	  29649930 ns/op	23782454 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      39	  29641175 ns/op	23782459 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      38	  29779400 ns/op	23782459 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/100000-4     	      38	  30690057 ns/op	23782474 B/op	  700061 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 304178491 ns/op	212662888 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 299787177 ns/op	212662840 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 301002385 ns/op	212662936 B/op	 7000074 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 302325638 ns/op	212662816 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 304692541 ns/op	212662888 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 299603716 ns/op	212662864 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 302137024 ns/op	212662936 B/op	 7000074 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 302846602 ns/op	212662888 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 303109066 ns/op	212662840 B/op	 7000073 allocs/op
BenchmarkMicroservicePhfQueue/1000000-4    	       4	 299159334 ns/op	212662912 B/op	 7000074 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15082951	        77.47 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	14912877	        76.85 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15359048	        76.40 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	14710713	        82.66 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15353198	        76.28 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15527425	        76.73 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15479074	        76.61 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15395995	        76.66 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15425187	        76.52 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/0-4          	15265362	        76.20 ns/op	      64 B/op	       2 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2739805	       434.6 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2751615	       434.2 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2767441	       432.4 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2782384	       433.2 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2667069	       435.7 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2779222	       432.5 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2765952	       434.7 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2790006	       435.1 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2667992	       448.5 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/1-4          	 2791244	       435.7 ns/op	     272 B/op	      11 allocs/op
BenchmarkMicroservicePhfStack/10-4         	  378328	      3018 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfStack/10-4         	  385069	      3013 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfStack/10-4         	  385023	      3022 ns/op	    2176 B/op	      79 allocs/op
BenchmarkMicroservicePhfStack/10-4         	  371056	      3015 ns/op	    2176 B/op	      79 allocs/op
